data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en
2020-03-24T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,234,57,291,331,622,17,26,21,46,689,4294,,,
2020-03-24T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,14,12,26,65,91,2,2,0,1,92,744,,,
2020-03-24T17:00:00,ITA,04,P.A. Bolzano,46.49933453,11.35662422,166,38,204,495,699,11,57,44,38,781,6509,,,
2020-03-24T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,88,21,109,195,304,24,27,5,10,319,4486,,,
2020-03-24T17:00:00,ITA,15,Campania,40.83956555,14.25084984,345,181,526,466,992,63,75,53,56,1101,6297,,,
2020-03-24T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.3417208,2974,291,3265,4446,7711,491,719,558,985,9254,33527,,,
2020-03-24T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,195,49,244,604,848,77,62,80,64,992,8526,,,
2020-03-24T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,747,94,841,704,1545,131,188,103,80,1728,18371,,,
2020-03-24T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,803,147,950,742,1692,139,192,193,231,2116,5992,,,
2020-03-24T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,9711,1194,10905,8963,19868,958,1942,6657,4178,30703,76695,,,
2020-03-24T17:00:00,ITA,11,Marche,43.61675973,13.5188753,862,149,1011,1486,2497,139,167,8,231,2736,7229,,,
2020-03-24T17:00:00,ITA,14,Molise,41.55774754,14.65916051,27,7,34,21,55,5,6,10,8,73,572,,,
2020-03-24T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,2404,360,2764,2360,5124,595,654,17,374,5515,15469,,,
2020-03-24T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,317,57,374,566,940,78,99,21,44,1005,7345,,,
2020-03-24T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,80,19,99,296,395,52,62,11,15,421,2859,,,
2020-03-24T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,250,60,310,489,799,118,125,27,20,846,7170,,,
2020-03-24T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,918,244,1162,1357,2519,218,238,51,129,2699,15701,,,
2020-03-24T17:00:00,ITA,04,P.A. Trento,46.06893511,11.12123097,308,49,357,618,975,61,87,79,56,1110,3712,,,
2020-03-24T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,105,43,148,476,624,68,71,5,19,648,4108,,,
2020-03-24T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,71,20,91,288,379,0,7,2,19,400,1180,,,
2020-03-24T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,1318,304,1622,3729,5351,365,443,381,216,5948,66178,,,
